id	time_scraped	follower	followed
2431039	2022-10-29T20:48:57.826853Z	4118	141717
2431041	2022-10-29T20:48:59.581360Z	4118	79286
2431051	2022-10-29T20:49:07.122546Z	4118	37961
2431059	2022-10-29T20:49:10.637814Z	4118	23351
2431089	2022-10-29T20:49:27.013255Z	4118	13999
2431092	2022-10-29T20:49:29.064209Z	4118	153464
2431097	2022-10-29T20:49:31.529982Z	4118	17437
2431101	2022-10-29T20:49:34.534545Z	4118	153461
2431392	2022-10-29T20:52:35.827546Z	4118	4256
2431151	2022-10-29T20:50:06.133024Z	4118	153463
2431157	2022-10-29T20:50:10.693449Z	4118	249114
2431164	2022-10-29T20:50:14.993382Z	4118	63635
2431170	2022-10-29T20:50:17.777167Z	4118	144564
2431177	2022-10-29T20:50:21.613253Z	4118	202391
2431183	2022-10-29T20:50:25.284255Z	4118	77924
2431187	2022-10-29T20:50:28.913545Z	4118	38279
2431191	2022-10-29T20:50:31.717912Z	4118	130000
2431195	2022-10-29T20:50:35.086886Z	4118	426994
2431225	2022-10-29T20:50:55.466795Z	4118	80784
2431228	2022-10-29T20:50:57.057341Z	4118	426277
2431231	2022-10-29T20:50:58.897189Z	4118	77846
2431235	2022-10-29T20:51:01.569053Z	4118	36841
2431238	2022-10-29T20:51:04.240980Z	4118	27729
2431242	2022-10-29T20:51:06.485106Z	4118	54324
2431246	2022-10-29T20:51:08.352988Z	4118	426995
2431249	2022-10-29T20:51:10.265057Z	4118	149300
2431253	2022-10-29T20:51:12.235928Z	4118	17118
2431256	2022-10-29T20:51:14.413433Z	4118	246811
2431260	2022-10-29T20:51:16.601869Z	4118	56365
2431263	2022-10-29T20:51:18.377053Z	4118	373350
2431267	2022-10-29T20:51:20.061275Z	4118	73565
2431402	2022-10-29T20:52:40.981919Z	4118	258646
2431406	2022-10-29T20:52:42.577580Z	4118	64055
2431410	2022-10-29T20:52:44.637614Z	4118	29032
2431413	2022-10-29T20:52:46.406972Z	4118	102574
3651654	2022-11-27T08:51:15.740958Z	4600	1463
2431417	2022-10-29T20:52:48.393210Z	4118	16897
2431420	2022-10-29T20:52:49.714458Z	4118	104709
2431439	2022-10-29T20:53:02.206016Z	4118	11240
2431583	2022-10-29T20:54:24.881410Z	4118	36634
2431589	2022-10-29T20:54:26.443839Z	4118	38664
2431596	2022-10-29T20:54:30.601283Z	4118	75557
2431603	2022-10-29T20:54:35.161095Z	4118	33838
2431611	2022-10-29T20:54:38.573403Z	4118	84654
2431615	2022-10-29T20:54:42.838297Z	4118	39140
2431619	2022-10-29T20:54:44.522885Z	4118	17573
2431622	2022-10-29T20:54:46.714438Z	4118	195805
2431626	2022-10-29T20:54:48.929190Z	4118	190442
2431653	2022-10-29T20:55:07.034496Z	4118	197325
2431656	2022-10-29T20:55:08.601162Z	4118	20473
2431659	2022-10-29T20:55:10.697823Z	4118	426996
2431663	2022-10-29T20:55:12.321858Z	4118	58442
2431665	2022-10-29T20:55:14.033304Z	4118	64165
2431668	2022-10-29T20:55:15.697526Z	4118	147076
2431672	2022-10-29T20:55:17.561673Z	4118	3120
2431675	2022-10-29T20:55:19.293198Z	4118	247932
2431679	2022-10-29T20:55:21.165150Z	4118	426997
2431683	2022-10-29T20:55:23.633173Z	4118	65609
2431694	2022-10-29T20:55:30.361298Z	4118	26086
2431696	2022-10-29T20:55:33.057189Z	4118	28973
2431715	2022-10-29T20:55:43.977586Z	4118	30417
2431719	2022-10-29T20:55:45.633905Z	4118	45267
2431722	2022-10-29T20:55:47.201876Z	4118	2375
2431726	2022-10-29T20:55:48.677155Z	4118	125167
2431729	2022-10-29T20:55:50.449586Z	4118	55447
2431732	2022-10-29T20:55:53.953045Z	4118	73037
2431753	2022-10-29T20:56:07.397062Z	4118	15129
2431772	2022-10-29T20:56:18.137969Z	4118	12385
2431912	2022-10-29T20:57:44.522576Z	4118	15264
2431920	2022-10-29T20:57:47.832579Z	4118	360585
2431926	2022-10-29T20:57:54.598247Z	4118	10790
2431930	2022-10-29T20:57:59.313152Z	4118	24973
2431938	2022-10-29T20:58:05.066497Z	4118	123725
